Year, Market,  Pool, AmountEmittedOrRetained
17, 300, 200, 0.176904615710766
18, 300, 200, 0.125090453392283
19, 300, 200, 0.0884523078553828
1, 300, 202, 6.65448953424564
2, 300, 202, 6.03938702858541
3, 300, 202, 6.66182844249935
4, 300, 202, 4.84869395609029
5, 300, 202, 6.32492317573355
6, 300, 202, 4.65830378877074
7, 300, 202, 3.31237705775509
8, 300, 202, 2.34666878896722
9, 300, 202, 4.60073673247005
10, 300, 202, 3.60260505769774
11, 300, 202, 2.54742646623502
12, 300, 202, 1.80130252884887
13, 300, 202, 1.27371323311751
14, 300, 202, 0.900651264424435
15, 300, 202, 0.636856616558756
16, 300, 202, 0.450325632212217
17, 300, 202, 0.318428308279378
18, 300, 202, 0.225162816106109
19, 300, 202, 0.159214154139689
1, 300, 201, 4.43632635616376
2, 300, 201, 4.02625801905694
3, 300, 201, 4.44121896166623
4, 300, 201, 3.23246263739353
5, 300, 201, 4.21661545048903
6, 300, 201, 3.10553585918049
7, 300, 201, 2.20825137183673
8, 300, 201, 1.56444585931148
9, 300, 201, 3.0671578216467
10, 300, 201, 2.40173670513183
11, 300, 201, 1.69828431082335
12, 300, 201, 1.20086835256591
13, 300, 201, 0.849142155411675
14, 300, 201, 0.600434176282956
15, 300, 201, 0.424571077705837
16, 300, 201, 0.300217088141478
17, 300, 201, 0.212285538852919
18, 300, 201, 0.150108544070739
19, 300, 201, 0.106142769426459
1, 301, 400, 6.65448953424564
2, 301, 400, 6.03938702858541
3, 301, 400, 6.66182844249935
4, 301, 400, 4.84869395609029
5, 301, 400, 6.32492317573355
6, 301, 400, 4.65830378877074
7, 301, 400, 3.31237705775509
8, 301, 400, 2.34666878896722
9, 301, 400, 4.60073673247005
10, 301, 400, 3.60260505769774
11, 301, 400, 2.54742646623502
12, 301, 400, 1.80130252884887
13, 301, 400, 1.27371323311751
14, 301, 400, 0.900651264424435
15, 301, 400, 0.636856616558756
16, 301, 400, 0.450325632212217
17, 301, 400, 0.318428308279378
18, 301, 400, 0.225162816106109
19, 301, 400, 0.159214154139689
1, 301, 401, 0.739387726027293
2, 301, 401, 0.671043003176157
3, 301, 401, 0.740203160277706
4, 301, 401, 0.538743772898922
5, 301, 401, 0.702769241748172
6, 301, 401, 0.517589309863415
7, 301, 401, 0.368041895306121
8, 301, 401, 0.260740976551913
9, 301, 401, 0.51119297027445
10, 301, 401, 0.400289450855304
11, 301, 401, 0.283047385137225
12, 301, 401, 0.200144725427652
13, 301, 401, 0.141523692568612
14, 301, 401, 0.100072362713826
15, 301, 401, 0.0707618462843062
16, 301, 401, 0.050036181356913
17, 301, 401, 0.0353809231421531
18, 301, 401, 0.0250180906784565
19, 301, 401, 0.0176904615710766
1, 0, 1002, 311.4855238
2, 0, 1002, 58.54618238
3, 0, 1002, 103.90274265
5, 0, 1002, 126.6683154
6, 0, 1002, 5.76382172
7, 0, 1002, 0.76176672
9, 0, 1002, 138.53220753
10, 0, 1002, 10.83987572
4, 0, 1002, 4.9899857
8, 0, 1002, 0.1542565
1, 0, 9999, 76.1791408993578
1, 0, 2999, 1.47697965538186
2, 0, 9999, 96.8850217377121
2, 0, 2999, 1.90977263685193
3, 0, 9999, 127.692813113348
3, 0, 2999, 2.46979238470319
4, 0, 9999, 136.902394059146
4, 0, 2999, 2.5990769212053
